subject,session,common_clip_idx,window_start_rel_s,window_end_rel_s,gt_window_start_wall,gt_window_end_wall,window_duration_sec,gt_hr_bpm,video_RAW_YUV420_clip_idx,video_RAW_YUV420_pred_hr_bpm,video_RAW_YUV420_err_bpm,android_311YJP3P3080D200020_clip_idx,android_311YJP3P3080D200020_pred_hr_bpm,android_311YJP3P3080D200020_err_bpm,best_camera_by_err
Jeremy,v01,4,30.53500008583069,40.00158333778381,1774419290.7697773,1774419300.2030275,9.466583251953125,84.59517627597745,4,84.78271110439144,0.1875348284139875,4,61.06485062399247,23.53032565198498,video_RAW_YUV420
Jeremy,v01,5,40.68900012969971,49.987776041030884,1774419300.9237773,1774419310.1892242,9.298775911331177,83.08972883243867,5,82.17628192318156,0.9134469092571038,5,81.49295677330144,1.5967720591372228,video_RAW_YUV420
Karen,v01,1,0.0,10.01672887802124,1774413674.7661877,1774413684.7496383,10.01672887802124,94.94852938434971,1,44.54927505771809,50.39925432663162,1,57.2003355830548,37.74819380129491,android_311YJP3P3080D200020
Karen,v01,2,10.061000108718872,20.03204584121704,1774413684.8271878,1774413694.7648854,9.971045732498169,99.09230964322069,2,40.03307609844913,59.05923354477156,2,75.00830697242058,24.084002670800103,android_311YJP3P3080D200020
Karen,v01,3,20.225000143051147,30.064180850982666,1774413694.9911878,1774413704.7970154,9.839180707931519,92.59710561081366,3,71.73419314012988,20.86291247068378,3,55.699350785320554,36.8977548254931,video_RAW_YUV420
Karen,v01,4,30.532999992370605,40.08210372924805,1774413705.2991877,1774413714.814903,9.549103736877441,86.89196901861764,4,43.79085796216444,43.101111056453206,4,131.85856320968736,44.96659419106972,video_RAW_YUV420
Karen,v01,5,40.83900022506714,50.11414575576782,1774413715.605188,1774413724.8469696,9.275145530700684,82.77390301414924,5,109.61668038201499,26.84277736786575,5,89.72724648402658,6.953343469877339,android_311YJP3P3080D200020
Patrick Wong,v01,1,0.0,10.017638206481934,1774421202.7325175,1774421212.7168746,10.017638206481934,77.00614072987025,1,77.88130704692824,0.8751663170579889,1,77.19417179601345,0.1880310661431963,android_311YJP3P3080D200020
Patrick Wong,v01,2,10.062999963760376,20.050129413604736,1774421212.7955174,1774421222.7493565,9.98712944984436,76.1147969570938,2,77.0435684141579,0.9287714570641015,2,77.57990788076691,1.4651109236731088,video_RAW_YUV420
Patrick Wong,v01,3,20.329999923706055,30.06519317626953,1774421223.0625174,1774421232.764371,9.735193252563477,74.05704364063892,3,73.95222936761117,0.10481427302775614,3,74.78939499387818,0.7323513532392525,video_RAW_YUV420
